t_s,R_cm,dRdt_cm_per_s
20616.70835418,1.38599971,-0.00001303
20746.37318659,1.38432219,-0.00001284
20876.03801901,1.38266954,-0.00001264
21005.70285143,1.38104393,-0.00001243
21135.36768384,1.37944753,-0.00001219
21265.03251626,1.37788250,-0.00001194
21394.69734867,1.37635100,-0.00001168
21524.36218109,1.37485520,-0.00001139
21654.02701351,1.37339816,-0.00001106
21783.69184592,1.37198701,-0.00001071
21913.35667834,1.37061794,-0.00001041
22043.02151076,1.36928495,-0.00001016
22172.68634317,1.36798202,-0.00000995
22302.35117559,1.36670315,-0.00000979
22432.01600800,1.36544230,-0.00000967
22561.68084042,1.36419348,-0.00000960
22691.34567284,1.36295066,-0.00000958
22821.01050525,1.36170784,-0.00000960
22950.67533767,1.36045899,-0.00000967
23080.34017009,1.35919810,-0.00000979
23210.00500250,1.35791916,-0.00000995
23339.66983492,1.35661615,-0.00001016
23469.33466733,1.35528410,-0.00001038
23598.99949975,1.35392666,-0.00001055
23728.66433217,1.35254903,-0.00001069
23858.32916458,1.35115602,-0.00001079
23987.99399700,1.34975244,-0.00001085
24117.65882941,1.34834307,-0.00001088
24247.32366183,1.34693274,-0.00001087
24376.98849425,1.34552624,-0.00001082
24506.65332666,1.34412839,-0.00001073
24636.31815908,1.34274397,-0.00001061
24765.98299150,1.34137780,-0.00001045
24895.64782391,1.34003469,-0.00001026
25025.31265633,1.33871943,-0.00001002
25154.97748874,1.33743683,-0.00000975
25284.64232116,1.33618128,-0.00000969
25414.30715358,1.33492222,-0.00000972
25543.97198599,1.33366192,-0.00000971
25673.63681841,1.33240557,-0.00000966
25803.30165083,1.33115839,-0.00000957
25932.96648324,1.32992557,-0.00000944
26062.63131566,1.32871232,-0.00000927
26192.29614807,1.32752384,-0.00000906
26321.96098049,1.32636535,-0.00000881
26451.62581291,1.32524204,-0.00000851
26581.29064532,1.32415913,-0.00000818
26710.95547774,1.32312182,-0.00000781
26840.62031016,1.32213531,-0.00000740
26970.28514257,1.32120481,-0.00000695
27099.94997499,1.32033306,-0.00000651
27229.61480740,1.31951320,-0.00000614
27359.27963982,1.31873790,-0.00000583
27488.94447224,1.31799995,-0.00000557
27618.60930465,1.31729212,-0.00000536
27748.27413707,1.31660720,-0.00000521
27877.93896948,1.31593799,-0.00000512
28007.60380190,1.31527726,-0.00000508
28137.26863432,1.31461780,-0.00000510
28266.93346673,1.31395240,-0.00000517
28396.59829915,1.31327384,-0.00000530
28526.26313157,1.31257491,-0.00000549
28655.92796398,1.31184838,-0.00000573
28785.59279640,1.31108705,-0.00000602
28915.25762881,1.31028360,-0.00000636
29044.92246123,1.30943959,-0.00000665
29174.58729365,1.30856281,-0.00000687
29304.25212606,1.30766110,-0.00000703
29433.91695848,1.30674229,-0.00000713
29563.58179090,1.30581420,-0.00000717
29693.24662331,1.30488467,-0.00000715
29822.91145573,1.30396152,-0.00000707
29952.57628814,1.30305259,-0.00000693
30082.24112056,1.30216571,-0.00000673
30211.90595298,1.30130869,-0.00000647
30341.57078539,1.30048939,-0.00000615
30471.23561781,1.29971561,-0.00000577
30600.90045023,1.29899520,-0.00000533
30730.56528264,1.29832422,-0.00000503
30860.23011506,1.29769005,-0.00000476
30989.89494747,1.29708711,-0.00000454
31119.55977989,1.29650983,-0.00000437
31249.22461231,1.29595261,-0.00000423
31378.88944472,1.29540988,-0.00000414
31508.55427714,1.29487606,-0.00000410
31638.21910955,1.29434555,-0.00000409
31767.88394197,1.29381279,-0.00000413
31897.54877439,1.29327218,-0.00000421
32027.21360680,1.29271815,-0.00000434
32156.87843922,1.29214511,-0.00000451
32286.54327164,1.29154748,-0.00000472
32416.20810405,1.29091969,-0.00000497
32545.87293647,1.29025893,-0.00000521
32675.53776888,1.28956918,-0.00000542
32805.20260130,1.28885543,-0.00000558
32934.86743372,1.28812266,-0.00000571
33064.53226613,1.28737585,-0.00000580
33194.19709855,1.28662000,-0.00000585
33323.86193097,1.28586007,-0.00000586
33453.52676338,1.28510107,-0.00000584
33583.19159580,1.28434796,-0.00000577
33712.85642821,1.28360574,-0.00000567
33842.52126063,1.28287939,-0.00000553
33972.18609305,1.28217390,-0.00000535
34101.85092546,1.28149424,-0.00000513
34231.51575788,1.28084475,-0.00000491
34361.18059030,1.28021377,-0.00000482
34490.84542271,1.27959472,-0.00000473
34620.51025513,1.27898679,-0.00000465
34750.17508754,1.27838919,-0.00000457
34879.83991996,1.27780113,-0.00000450
35009.50475238,1.27722180,-0.00000444
35139.16958479,1.27665040,-0.00000438
35268.83441721,1.27608615,-0.00000433
35398.49924962,1.27552823,-0.00000428
35528.16408204,1.27497587,-0.00000424
35657.82891446,1.27442824,-0.00000421
35787.49374687,1.27388457,-0.00000418
35917.15857929,1.27334405,-0.00000416
36046.82341171,1.27280604,-0.00000414
36176.48824412,1.27227176,-0.00000410
36306.15307654,1.27174181,-0.00000407
36435.81790895,1.27121633,-0.00000403
36565.48274137,1.27069549,-0.00000400
36695.14757379,1.27017945,-0.00000396
36824.81240620,1.26966838,-0.00000392
36954.47723862,1.26916242,-0.00000388
37084.14207104,1.26866175,-0.00000384
37213.80690345,1.26816652,-0.00000380
37343.47173587,1.26767690,-0.00000375
37473.13656828,1.26719305,-0.00000371
37602.80140070,1.26671512,-0.00000366
37732.46623312,1.26624328,-0.00000362
37862.13106553,1.26577858,-0.00000354
37991.79589795,1.26532611,-0.00000344
38121.46073037,1.26488494,-0.00000336
38251.12556278,1.26445302,-0.00000330
38380.79039520,1.26402826,-0.00000325
38510.45522761,1.26360859,-0.00000322
38640.12006003,1.26319196,-0.00000321
38769.78489245,1.26277628,-0.00000321
38899.44972486,1.26235948,-0.00000322
39029.11455728,1.26193950,-0.00000326
39158.77938969,1.26151427,-0.00000331
39288.44422211,1.26108171,-0.00000337
39418.10905453,1.26063976,-0.00000345
39547.77388694,1.26018634,-0.00000355
39677.43871936,1.25971800,-0.00000369
39807.10355178,1.25922945,-0.00000384
39936.76838419,1.25872372,-0.00000396
40066.43321661,1.25820464,-0.00000404
40196.09804902,1.25767603,-0.00000410
40325.76288144,1.25714172,-0.00000413
40455.42771386,1.25660553,-0.00000413
40585.09254627,1.25607129,-0.00000410
40714.75737869,1.25554281,-0.00000404
40844.42221111,1.25502393,-0.00000395
40974.08704352,1.25451847,-0.00000384
41103.75187594,1.25403025,-0.00000369
41233.41670835,1.25356310,-0.00000351
41363.08154077,1.25312084,-0.00000330
41492.74637319,1.25270234,-0.00000318
41622.41120560,1.25229566,-0.00000310
41752.07603802,1.25189944,-0.00000302
41881.74087044,1.25151306,-0.00000294
42011.40570285,1.25113590,-0.00000287
42141.07053527,1.25076733,-0.00000281
42270.73536768,1.25040674,-0.00000275
42400.40020010,1.25005349,-0.00000270
42530.06503252,1.24970696,-0.00000265
42659.72986493,1.24936654,-0.00000260
42789.39469735,1.24903159,-0.00000256
42919.05952976,1.24870150,-0.00000253
43048.72436218,1.24837565,-0.00000250
43178.38919460,1.24805340,-0.00000247
43308.05402701,1.24773631,-0.00000241
43437.71885943,1.24742752,-0.00000235
43567.38369185,1.24712613,-0.00000230
43697.04852426,1.24683114,-0.00000225
43826.71335668,1.24654156,-0.00000222
43956.37818909,1.24625638,-0.00000218
44086.04302151,1.24597461,-0.00000216
44215.70785393,1.24569526,-0.00000215
44345.37268634,1.24541732,-0.00000214
44475.03751876,1.24513981,-0.00000214
44604.70235118,1.24486171,-0.00000215
44734.36718359,1.24458204,-0.00000217
44864.03201601,1.24429981,-0.00000219
44993.69684842,1.24401400,-0.00000222
45123.36168084,1.24372586,-0.00000222
45253.02651326,1.24343772,-0.00000222
45382.69134567,1.24314957,-0.00000222
45512.35617809,1.24286143,-0.00000222
45642.02101051,1.24257329,-0.00000222
45771.68584292,1.24228514,-0.00000222
45901.35067534,1.24199700,-0.00000222
46031.01550775,1.24170885,-0.00000222
46160.68034017,1.24142071,-0.00000222
46290.34517259,1.24113257,-0.00000222
46420.01000500,1.24084442,-0.00000222
46549.67483742,1.24055628,-0.00000222
46679.33966983,1.24026813,-0.00000222
46809.00450225,1.23997998,-0.00000223
46938.66933467,1.23968872,-0.00000227
47068.33416708,1.23939290,-0.00000230
47197.99899950,1.23909380,-0.00000232
47327.66383192,1.23879270,-0.00000233
47457.32866433,1.23849089,-0.00000233
47586.99349675,1.23818965,-0.00000232
47716.65832916,1.23789026,-0.00000230
47846.32316158,1.23759399,-0.00000227
47975.98799400,1.23730214,-0.00000223
48105.65282641,1.23701598,-0.00000218
48235.31765883,1.23673679,-0.00000212
48364.98249125,1.23646586,-0.00000205
48494.64732366,1.23620447,-0.00000198
48624.31215608,1.23595392,-0.00000189
48753.97698849,1.23571558,-0.00000179
48883.64182091,1.23548830,-0.00000172
49013.30665333,1.23527016,-0.00000165
49142.97148574,1.23505923,-0.00000160
49272.63631816,1.23485360,-0.00000157
49402.30115058,1.23465134,-0.00000155
49531.96598299,1.23445052,-0.00000155
49661.63081541,1.23424924,-0.00000156
49791.29564782,1.23404555,-0.00000159
49920.96048024,1.23383755,-0.00000163
50050.62531266,1.23362331,-0.00000168
50180.29014507,1.23340090,-0.00000175
50309.95497749,1.23316840,-0.00000184
50439.61980990,1.23292372,-0.00000195
50569.28464232,1.23266334,-0.00000207
50698.94947474,1.23238852,-0.00000217
50828.61430715,1.23210182,-0.00000225
50958.27913957,1.23180580,-0.00000231
51087.94397199,1.23150303,-0.00000235
51217.60880440,1.23119606,-0.00000238
51347.27363682,1.23088746,-0.00000238
51476.93846923,1.23057980,-0.00000236
51606.60330165,1.23027564,-0.00000233
51736.26813407,1.22997754,-0.00000227
51865.93296648,1.22968806,-0.00000219
51995.59779890,1.22940977,-0.00000210
52125.26263132,1.22914523,-0.00000198
52254.92746373,1.22889616,-0.00000188
52384.59229615,1.22865695,-0.00000181
52514.25712856,1.22842526,-0.00000176
52643.92196098,1.22820014,-0.00000171
52773.58679340,1.22798062,-0.00000167
52903.25162581,1.22776575,-0.00000164
53032.91645823,1.22755456,-0.00000162
53162.58129065,1.22734609,-0.00000160
53292.24612306,1.22713938,-0.00000159
53421.91095548,1.22693347,-0.00000159
53551.57578789,1.22672740,-0.00000159
53681.24062031,1.22652021,-0.00000160
53810.90545273,1.22631092,-0.00000162
53940.57028514,1.22609860,-0.00000165
54070.23511756,1.22588206,-0.00000169
54199.89994997,1.22566026,-0.00000173
54329.56478239,1.22543429,-0.00000176
54459.22961481,1.22520553,-0.00000177
54588.89444722,1.22497530,-0.00000178
54718.55927964,1.22474495,-0.00000177
54848.22411206,1.22451584,-0.00000176
54977.88894447,1.22428930,-0.00000173
55107.55377689,1.22406669,-0.00000170
55237.21860930,1.22384934,-0.00000165
55366.88344172,1.22363861,-0.00000160
55496.54827414,1.22343583,-0.00000153
55626.21310655,1.22324236,-0.00000145
55755.87793897,1.22305954,-0.00000137
55885.54277139,1.22288771,-0.00000129
56015.20760380,1.22272381,-0.00000124
56144.87243622,1.22256672,-0.00000119
56274.53726863,1.22241556,-0.00000115
56404.20210105,1.22226941,-0.00000111
56533.86693347,1.22212738,-0.00000108
56663.53176588,1.22198858,-0.00000106
56793.19659830,1.22185211,-0.00000105
56922.86143072,1.22171706,-0.00000104
57052.52626313,1.22158256,-0.00000104
57182.19109555,1.22144768,-0.00000104
57311.85592796,1.22131155,-0.00000106
57441.52076038,1.22117326,-0.00000108
57571.18559280,1.22103192,-0.00000110
57700.85042521,1.22088597,-0.00000115
57830.51525763,1.22073434,-0.00000119
57960.18009005,1.22057845,-0.00000121
58089.84492246,1.22041979,-0.00000123
58219.50975488,1.22025987,-0.00000123
58349.17458729,1.22010016,-0.00000123
58478.83941971,1.21994218,-0.00000121
58608.50425213,1.21978742,-0.00000118
58738.16908454,1.21963736,-0.00000114
58867.83391696,1.21949351,-0.00000108
58997.49874937,1.21935736,-0.00000102
59127.16358179,1.21923041,-0.00000094
59256.82841421,1.21911415,-0.00000085
59386.49324662,1.21901008,-0.00000075
59516.15807904,1.21891794,-0.00000067
59645.82291146,1.21883486,-0.00000061
59775.48774387,1.21875932,-0.00000056
59905.15257629,1.21868984,-0.00000052
60034.81740870,1.21862490,-0.00000049
60164.48224112,1.21856302,-0.00000047
60294.14707354,1.21850271,-0.00000046
60423.81190595,1.21844246,-0.00000047
60553.47673837,1.21838079,-0.00000048
60683.14157079,1.21831619,-0.00000051
60812.80640320,1.21824717,-0.00000055
60942.47123562,1.21817224,-0.00000060
61072.13606803,1.21808991,-0.00000067
61201.80090045,1.21799866,-0.00000074
61331.46573287,1.21789577,-0.00000084
61461.13056528,1.21778054,-0.00000093
61590.79539770,1.21765450,-0.00000101
61720.46023012,1.21751912,-0.00000108
61850.12506253,1.21737590,-0.00000113
61979.78989495,1.21722635,-0.00000117
62109.45472736,1.21707194,-0.00000121
62239.11955978,1.21691419,-0.00000123
62368.78439220,1.21675458,-0.00000123
62498.44922461,1.21659462,-0.00000123
62628.11405703,1.21643578,-0.00000122
62757.77888944,1.21627958,-0.00000119
62887.44372186,1.21612751,-0.00000115
63017.10855428,1.21598093,-0.00000112
63146.77338669,1.21583285,-0.00000116
63276.43821911,1.21567954,-0.00000120
63406.10305153,1.21552250,-0.00000122
63535.76788394,1.21536322,-0.00000123
63665.43271636,1.21520320,-0.00000123
63795.09754877,1.21504394,-0.00000122
63924.76238119,1.21488692,-0.00000120
64054.42721361,1.21473366,-0.00000116
64184.09204602,1.21458563,-0.00000112
64313.75687844,1.21444434,-0.00000106
64443.42171086,1.21431127,-0.00000099
64573.08654327,1.21418794,-0.00000091
64702.75137569,1.21407582,-0.00000082
64832.41620810,1.21397620,-0.00000073
64962.08104052,1.21388510,-0.00000068
65091.74587294,1.21379999,-0.00000064
65221.41070535,1.21372011,-0.00000060
65351.07553777,1.21364472,-0.00000057
65480.74037019,1.21357307,-0.00000054
65610.40520260,1.21350441,-0.00000052
65740.07003502,1.21343801,-0.00000051
65869.73486743,1.21337310,-0.00000050
65999.39969985,1.21330894,-0.00000049
66129.06453227,1.21324478,-0.00000050
66258.72936468,1.21317988,-0.00000051
66388.39419710,1.21311349,-0.00000052
66518.05902951,1.21304486,-0.00000054
66647.72386193,1.21297349,-0.00000056
66777.38869435,1.21290145,-0.00000056
66907.05352676,1.21282941,-0.00000056
67036.71835918,1.21275738,-0.00000056
67166.38319160,1.21268534,-0.00000056
67296.04802401,1.21261331,-0.00000056
67425.71285643,1.21254127,-0.00000056
67555.37768884,1.21246923,-0.00000056
67685.04252126,1.21239720,-0.00000056
67814.70735368,1.21232516,-0.00000056
67944.37218609,1.21225313,-0.00000056
68074.03701851,1.21218109,-0.00000056
68203.70185093,1.21210905,-0.00000056
68333.36668334,1.21203702,-0.00000056
68463.03151576,1.21196498,-0.00000056
68592.69634817,1.21189295,-0.00000056
68722.36118059,1.21182091,-0.00000056
68852.02601301,1.21174887,-0.00000056
68981.69084542,1.21167684,-0.00000056
69111.35567784,1.21160480,-0.00000056
69241.02051026,1.21153277,-0.00000056
69370.68534267,1.21146073,-0.00000056
69500.35017509,1.21138869,-0.00000056
69630.01500750,1.21131666,-0.00000056
69759.67983992,1.21124462,-0.00000056
69889.34467234,1.21117259,-0.00000056
70019.00950475,1.21110055,-0.00000056
70148.67433717,1.21102851,-0.00000056
70278.33916958,1.21095648,-0.00000056
70408.00400200,1.21088444,-0.00000056
70537.66883442,1.21081241,-0.00000056
70667.33366683,1.21074037,-0.00000056
70796.99849925,1.21066833,-0.00000056
70926.66333167,1.21059630,-0.00000056
71056.32816408,1.21052426,-0.00000056
71185.99299650,1.21045223,-0.00000056
71315.65782891,1.21038019,-0.00000056
71445.32266133,1.21030815,-0.00000056
71574.98749375,1.21023612,-0.00000056
71704.65232616,1.21016408,-0.00000056
71834.31715858,1.21009205,-0.00000056
71963.98199100,1.21002001,-0.00000056
72093.64682341,1.20994797,-0.00000056
72223.31165583,1.20987594,-0.00000056
72352.97648824,1.20980390,-0.00000056
72482.64132066,1.20973187,-0.00000056
72612.30615308,1.20965983,-0.00000056
72741.97098549,1.20958779,-0.00000056
72871.63581791,1.20951576,-0.00000056
73001.30065033,1.20944372,-0.00000056
73130.96548274,1.20937169,-0.00000056
73260.63031516,1.20929965,-0.00000056
73390.29514757,1.20922761,-0.00000056
73519.95997999,1.20915558,-0.00000056
73649.62481241,1.20908354,-0.00000056
73779.28964482,1.20901151,-0.00000056
73908.95447724,1.20893947,-0.00000056
74038.61930965,1.20886743,-0.00000056
74168.28414207,1.20879540,-0.00000056
74297.94897449,1.20872336,-0.00000056
74427.61380690,1.20865133,-0.00000056
74557.27863932,1.20857929,-0.00000056
74686.94347174,1.20850725,-0.00000056
74816.60830415,1.20843522,-0.00000056
74946.27313657,1.20836318,-0.00000056
75075.93796898,1.20829115,-0.00000056
75205.60280140,1.20821911,-0.00000056
75335.26763382,1.20814707,-0.00000056
75464.93246623,1.20807504,-0.00000056
75594.59729865,1.20800300,-0.00000056
75724.26213107,1.20793097,-0.00000056
75853.92696348,1.20785893,-0.00000056
75983.59179590,1.20778689,-0.00000056
76113.25662831,1.20771486,-0.00000056
76242.92146073,1.20764282,-0.00000056
76372.58629315,1.20757079,-0.00000056
76502.25112556,1.20749875,-0.00000056
76631.91595798,1.20742671,-0.00000056
76761.58079040,1.20735468,-0.00000056
76891.24562281,1.20728264,-0.00000056
77020.91045523,1.20721061,-0.00000056
77150.57528764,1.20713857,-0.00000056
77280.24012006,1.20706653,-0.00000056
77409.90495248,1.20699447,-0.00000056
77539.56978489,1.20691692,-0.00000063
77669.23461731,1.20683140,-0.00000068
77798.89944972,1.20674016,-0.00000072
77928.56428214,1.20664545,-0.00000074
78058.22911456,1.20654949,-0.00000074
78187.89394697,1.20645455,-0.00000072
78317.55877939,1.20636285,-0.00000069
78447.22361181,1.20627665,-0.00000064
78576.88844422,1.20619819,-0.00000057
78706.55327664,1.20612970,-0.00000048
78836.21810905,1.20607343,-0.00000038
78965.88294147,1.20603163,-0.00000026
79095.54777389,1.20600654,-0.00000012
79225.21260630,1.20600000,0.00000000
79354.87743872,1.20600000,0.00000000
79484.54227114,1.20600000,0.00000000
79614.20710355,1.20600000,0.00000000
79743.87193597,1.20600000,0.00000000
79873.53676838,1.20600000,0.00000000
80003.20160080,1.20600000,0.00000000
80132.86643322,1.20600000,0.00000000
80262.53126563,1.20600000,0.00000000
80392.19609805,1.20600000,0.00000000
80521.86093047,1.20600000,0.00000000
80651.52576288,1.20600000,0.00000000
80781.19059530,1.20600000,0.00000000
80910.85542771,1.20600000,0.00000000
81040.52026013,1.20599850,-0.00000007
81170.18509255,1.20597487,-0.00000029
81299.84992496,1.20592600,-0.00000046
81429.51475738,1.20585636,-0.00000061
81559.17958979,1.20577044,-0.00000071
81688.84442221,1.20567273,-0.00000079
81818.50925463,1.20556772,-0.00000083
81948.17408704,1.20545989,-0.00000083
82077.83891946,1.20535373,-0.00000080
82207.50375188,1.20525372,-0.00000074
82337.16858429,1.20516435,-0.00000064
82466.83341671,1.20509010,-0.00000050
82596.49824912,1.20503546,-0.00000033
82726.16308154,1.20500491,-0.00000013
82855.82791396,1.20500000,0.00000000
82985.49274637,1.20500000,0.00000000
83115.15757879,1.20500000,0.00000000
83244.82241121,1.20500000,0.00000000
83374.48724362,1.20500000,0.00000000
83504.15207604,1.20500000,0.00000000
83633.81690845,1.20500000,0.00000000
83763.48174087,1.20500000,0.00000000
83893.14657329,1.20500000,0.00000000
84022.81140570,1.20500000,0.00000000
84152.47623812,1.20500000,0.00000000
84282.14107054,1.20500000,0.00000000
84411.80590295,1.20500000,0.00000000
84541.47073537,1.20500000,0.00000000
84671.13556778,1.20499544,-0.00000013
84800.80040020,1.20496544,-0.00000033
84930.46523262,1.20491126,-0.00000050
85060.13006503,1.20483737,-0.00000063
85189.79489745,1.20474827,-0.00000073
85319.45972986,1.20464843,-0.00000080
85449.12456228,1.20454235,-0.00000083
85578.78939470,1.20443451,-0.00000083
85708.45422711,1.20432939,-0.00000079
85838.11905953,1.20423149,-0.00000072
85967.78389195,1.20414528,-0.00000061
86097.44872436,1.20407526,-0.00000047
86227.11355678,1.20402590,-0.00000029
86356.77838919,1.20400170,-0.00000008
86486.44322161,1.20400000,0.00000000
86616.10805403,1.20400000,0.00000000
86745.77288644,1.20400000,0.00000000
86875.43771886,1.20400000,0.00000000
87005.10255128,1.20400000,0.00000000
87134.76738369,1.20400000,0.00000000
87264.43221611,1.20400000,0.00000000
87394.09704852,1.20400000,0.00000000
87523.76188094,1.20400000,0.00000000
87653.42671336,1.20400000,0.00000000
87783.09154577,1.20400000,0.00000000
87912.75637819,1.20400000,0.00000000
88042.42121061,1.20400000,0.00000000
88172.08604302,1.20400000,0.00000000
88301.75087544,1.20399077,-0.00000018
88431.41570785,1.20395466,-0.00000037
88561.08054027,1.20389542,-0.00000053
88690.74537269,1.20381754,-0.00000066
88820.41020510,1.20372550,-0.00000075
88950.07503752,1.20362378,-0.00000081
89079.73986993,1.20351688,-0.00000083
89209.40470235,1.20340928,-0.00000082
89339.06953477,1.20330546,-0.00000077
89468.73436718,1.20320991,-0.00000069
89598.39919960,1.20312712,-0.00000058
89728.06403202,1.20306158,-0.00000043
89857.72886443,1.20301775,-0.00000024
89987.39369685,1.20300015,-0.00000002
90117.05852926,1.20300000,0.00000000
90246.72336168,1.20300000,0.00000000
90376.38819410,1.20300000,0.00000000
90506.05302651,1.20300000,0.00000000
